"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:26:34,FALSE,NA,"935560561932296192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Jagaruk_Raj",265,TRUE,FALSE,NA,NA
"RT @asandovalh: Our new article on Young Citizens Participation w/ data from #ICCS @iea_education @DenialMiranda @juankcastillo  https://t.…",FALSE,0,NA,2017-11-21 21:58:43,FALSE,NA,"933092337059749888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DenialMiranda",1,TRUE,FALSE,NA,NA
"RT @annaeveryday: Excited to be talking data ethics next week at @theNASEM roundtable on data science education. Even better, the event wil…",FALSE,0,NA,2017-11-28 21:07:18,FALSE,NA,"935616110174420992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UW_iSchool",5,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 23:03:58,FALSE,NA,"933108754987433985",NA,"<a href=""https://twitter.com/fullstackappsJS"" rel=""nofollow"">fullstackapps</a>","fullstackappsJS",20,TRUE,FALSE,NA,NA
"Making use of data can be difficult, but #Evisions has put together some ideas for your insitution to consider. Che… https://t.co/ubazdlsiON",FALSE,2,NA,2017-11-21 23:04:00,TRUE,NA,"933108764953251840",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","EvisionsInc",1,FALSE,FALSE,NA,NA
"RT @UNESCOstat: #teachers play a critical role in providing quality education - see the data in our interactive #dataviz https://t.co/yTIvv…",FALSE,0,NA,2017-11-28 23:41:32,FALSE,NA,"935654925538820096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatFrostell",8,TRUE,FALSE,NA,NA
"with @annaeveryday @jevinwest @mathbabedotorg and more - I know I'll be tuning in! Data Science Education Roundtable https://t.co/LDaoEADa8d",FALSE,2,NA,2017-11-28 22:13:01,FALSE,NA,"935632651272073216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bree_uw",1,FALSE,FALSE,NA,NA
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:29:57,FALSE,NA,"935561413661114368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NeerjaAnand",265,TRUE,FALSE,NA,NA
"RT @ahmedjr_16: 11 Best #BigData Courses for #DataScientists 

https://t.co/yClYWc2MfC  

#AI #ArtificialIntelligence #DataScience #DataSci…",FALSE,0,NA,2017-11-21 23:04:29,FALSE,NA,"933108884931260417",NA,"<a href=""https://www.youtube.com/watch?v=kOdzV3B8GWQ"" rel=""nofollow"">Calcaware</a>","Calcaware",20,TRUE,FALSE,NA,NA
"Jeb!’s trouble with data and facts regarding education policy is legendary: https://t.co/SP20V29CTA #thesmartone? https://t.co/vvPnZHC033",FALSE,5,NA,2017-11-28 21:28:18,FALSE,NA,"935621396037857280",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jerseyjazzman",6,FALSE,FALSE,NA,NA
